title,first_name,last_name,publisher,year,isbn
Autobiography of Martin Van Buren,Martin,Van Buren,U.S. Government Printing Office,1920,
Mr. Buchanan's Administration on the Eve of Rebellion,James,Buchanan,D. Appleton and Company,1866,
Theodore Roosevelt: An Autobiography,Theodore,Roosevelt,Macmillan,1913,
Autobiography of Calvin Coolidge,Calvin,Coolidge,Cosmopolitan Book Corporation,1929,
Memoirs of Herbert Hoover,Herbert,Hoover,Macmillan,1951,
Memoirs: Year of Decisions,Harry S.,Truman,Doubleday,1955,
Memoirs: Years of Trial and Hope,Harry S.,Truman,Doubleday,1956,
Autobiography of Harry S Truman,Harry S.,Truman,Colorado Associated University Press,1980,978-0870-81090-9
At Ease: Stories I Tell to Friends,Dwight D.,Eisenhower,Doubleday,1969,
Vantage Point,Lyndon B.,Johnson,"Holt, Rinehart and Winston",1971,978-0030-84492-8
RN - The Memoirs of Richard Nixon,Richard,Nixon,Grosset & Dunlap,1978,978-0448-14374-3
"In the Arena: A Memoir of Victory, Defeat, and Renewal",Richard,Nixon,Simon & Schuster,1990,978-0671-70096-6
A Time To Heal,Gerald,Ford,Harper & Row,1979,978-0060-11297-4
Keeping Faith: Memoirs of a President,Jimmy,Carter,Bantam Books,1982,978-0553-05023-3
An American Life,Ronald,Reagan,Simon & Schuster,1990,0-7434-0025-9
My Life,Bill,Clinton,Knopf Publishing Group,2004,978-0-375-41457-2
Decision Points,George W.,Bush,Crown Publishers,2010,978-0-307-59061-9
Personal Memoirs of Ulysses S. Grant,Ulysses S.,Grant,Charles L. Webster & Company,1885,
Rough Riders,Theodore,Roosevelt,Charles Scribner's Sons,1899,
Crusade in Europe,Dwight D.,Eisenhower,Doubleday,1948,
Six Crises,Richard,Nixon,Doubleday,1962,0-385-00125-8
Where's the Rest of Me?,Ronald,Reagan,"Duell, Sloan and Pearce",1965,978-0918-29416-6
Why Not the Best?: The First Fifty Years,Jimmy,Carter,Broadman Press,1975,0-8054-5582-5
"Turning Point: A Candidate, a State, and a Nation Come of Age",Jimmy,Carter,Three Rivers Press,1993,0-8129-2299-9
An Hour Before Daylight: Memories of a Rural Boyhood,Jimmy,Carter,Simon & Schuster,2001,0-7432-1199-5
Looking Forward,George H. W.,Bush,Doubleday,1987,0-3851-4181-5
A Charge to Keep,George W.,Bush,William Morrow & Company,1999,0-688-17441-8
Dreams from My Father,Barack,Obama,Times Books,1995,1-4000-8277-3
Audacity of Hope,Barack,Obama,Crown/Three Rivers Press,2006,0-307-23769-9
Full Life: Reflections at 90,Jimmy,Carter,Simon & Schuster,2015,978-1-5011-1563-9
